,DATE,Volume AI,,,,,,,,,,,,
,26-05-2022,5780597,,,,,,,,,,,,
,27-05-2022,7131633,,,,,,,,,,,,
,30-05-2022,4675033,,,,,,,,,,,,
,31-05-2022,44593174,,,,,,,,,,,,
,01-06-2022,3749781,,,,,,,,,,,,
,02-06-2022,3466993,,,,,,,,,,,,
,03-06-2022,6673615,,,,,,,,,,,,
,06-06-2022,6407024,,,,,,,,,,,,
,07-06-2022,8349903,,,,,,,,,,,,
,08-06-2022,13904149,,,,,,,,,,,,
,09-06-2022,6774925,,,,,,,,,,,,
,10-06-2022,3221484,,,,,,,,,,,,
,13-06-2022,5982102,,,,,,,,,,,,
,14-06-2022,8878530,,,,,,,,,,,,
,15-06-2022,6005970,,,,,,,,,,,,
,16-06-2022,9525587,,,,,,,,,,,,
,17-06-2022,11085830,,,,,,,,,,,,
,20-06-2022,3883001,,,,,,,,,,,,
,21-06-2022,3515991,,,,,,,,,,,,
,22-06-2022,4348884,,,,,,,,,,,,
,23-06-2022,4336533,,,,,,,,,,,,
,24-06-2022,5621332,,,,,,,,,,,,
,27-06-2022,5284297,,,,,,,,,,,,
,28-06-2022,3216376,,,,,,,,,,,,
,29-06-2022,5011798,,,,,,,,,,,,
,30-06-2022,6505666,,,,,,,,,,,,
,01-07-2022,4488771,,,,,,,,,,,,
,04-07-2022,4229588,,,,,,,,,,,,
,05-07-2022,3494504,,,,,,,,,,,,
,06-07-2022,4697006,,,,,,,,,,,,
,07-07-2022,3485283,,,,,,,,,,,,
,08-07-2022,2732170,,,,,,,,,,,,
,11-07-2022,18687521,,,,,,,,,,,,
,12-07-2022,7416645,,,,,,,,,,,,
,13-07-2022,12030163,,,,,,,,,,,,
,14-07-2022,11379990,,,,,,,,,,,,
,15-07-2022,5567877,,,,,,,,,,,,
,18-07-2022,8982417,,,,,,,,,,,,
,19-07-2022,7836419,,,,,,,,,,,,
,20-07-2022,4458819,,,,,,,,,,,,
,21-07-2022,3550107,,,,,,,,,,,,
,22-07-2022,2415220,,,,,,,,,,,,
