Date,Open DM,High DM,Low DM,Close DM,Adj CloseDM,Volume DM,Open AI,High AI,Low AI,Close AI,Adj Close AI,Volume AI,,,,
20-01-2022,4517,4517,4462.350098,4483.549805,4483.549805,350124,706,719.650024,705.25,715.400024,715.400024,4812496,,,,
21-01-2022,4410,4435.450195,4281,4299.799805,4299.799805,606584,709.599976,714,689.349976,695.25,695.25,6704622,,,,
24-01-2022,4300,4316.899902,3978,4035.300049,4035.300049,1126974,690.299988,707,677.349976,689.900024,689.900024,11091633,,,,
25-01-2022,4025,4120,3881.25,4095.449951,4095.449951,810518,684,720.450012,682.150024,711.849976,711.849976,14128764,,,,
27-01-2022,4040,4144.100098,3994.949951,4063.300049,4063.300049,675652,706.5,716,701.5,707.25,707.25,8937312,,,,
28-01-2022,4130,4150.899902,4046,4076,4076,582484,714.900024,754,701.650024,715.799988,715.799988,21450677,,,,
31-01-2022,4140,4171,4092,4114.350098,4114.350098,478099,728,735,719.549988,729.299988,729.299988,10745370,,,,
01-02-2022,4133.200195,4278,4092,4225.600098,4225.600098,321735,733,735,718.299988,723.049988,723.049988,4814511,,,,
02-02-2022,4274.299805,4275,4211,4236.649902,4236.649902,249200,726.099976,731.75,720.5,725.049988,725.049988,3286577,,,,
03-02-2022,4231.049805,4235,4122.350098,4140,4140,337719,726,729,718.5,721.650024,721.650024,3651578,,,,
04-02-2022,4140,4140.200195,4075,4081.899902,4081.899902,299981,721.099976,723.25,716.5,720.200012,720.200012,3284198,,,,
07-02-2022,4090,4146.799805,4045.199951,4073.550049,4073.550049,288091,718,720.099976,699.5,706.5,706.5,6833983,,,,
08-02-2022,4098.899902,4128.950195,3995,4015,4015,456874,711.200012,714.700012,701,708.900024,708.900024,7167684,,,,
09-02-2022,4078.699951,4078.699951,3983,4002.100098,4002.100098,380364,707.099976,726.099976,702.150024,719.349976,719.349976,10185173,,,,
10-02-2022,4034.100098,4182,4001,4162.700195,4162.700195,699250,722.950012,726.950012,708.599976,724.049988,724.049988,6074014,,,,
11-02-2022,4138,4157,4080.100098,4142.25,4142.25,336884,721.700012,725.400024,710.900024,715.150024,715.150024,5646980,,,,
14-02-2022,4015,4125,3958.050049,3979.75,3979.75,466101,704,704,685,689.700012,689.700012,7441445,,,,
15-02-2022,4015,4128.899902,3980,4081.75,4081.75,377212,696,713.099976,686.599976,711.549988,711.549988,4650249,,,,
16-02-2022,4139.899902,4155,4035,4051.149902,4051.149902,313236,717.400024,728.200012,708,721.799988,721.799988,5433910,,,,
17-02-2022,4095.600098,4152,4080,4115.399902,4115.399902,357259,724.450012,727.5,715,717,717,5107708,,,,
18-02-2022,4098,4121,4056.050049,4073.100098,4073.100098,169496,712.049988,719.549988,711.349976,712.549988,712.549988,4099366,,,,
21-02-2022,4048,4170,3990,4096.600098,4096.600098,480541,708.049988,716.549988,703,709.950012,709.950012,4307430,,,,
22-02-2022,4001,4179,3990,4157.100098,4157.100098,484781,694.200012,702.5,687.5,699.25,699.25,9148804,,,,
23-02-2022,4165,4217.700195,4135,4193.450195,4193.450195,360454,700.099976,708.950012,699.5,704.400024,704.400024,4124469,,,,
24-02-2022,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,682,688.549988,645.450012,670.900024,670.900024,14139461,,,,
25-02-2022,4080,4210,4037.649902,4190.75,4190.75,425226,677.5,695.150024,677.5,688.650024,688.650024,6452099,,,,
28-02-2022,4155,4355,4062.100098,4340.350098,4340.350098,647569,681,690,666.450012,686.5,686.5,8301523,,,,
02-03-2022,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,684,684,666,674.25,674.25,10220908,,,,
03-03-2022,4370,4395,4253.899902,4276.5,4276.5,303425,675,679.799988,668.599976,672.049988,672.049988,6517030,,,,
04-03-2022,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,665,667.950012,650,653.700012,653.700012,7094874,,,,
07-03-2022,4001,4175,3970.800049,3991.649902,3991.649902,694633,640,679.349976,639,675.400024,675.400024,12615451,,,,
08-03-2022,4016,4160,3992.399902,4124,4124,713004,675,686.849976,667.599976,683,683,8462985,,,,
09-03-2022,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,682,698,674.299988,691.5,691.5,9896395,,,,
10-03-2022,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,699.950012,707.5,690.599976,697.75,697.75,5989327,,,,
11-03-2022,4167,4210,4109.25,4198.950195,4198.950195,387534,696.700012,702.400024,691.5,694.849976,694.849976,3353880,,,,
14-03-2022,4190,4218,4150,4168.25,4168.25,305326,688.150024,704.849976,688.150024,700.400024,700.400024,4016137,,,,
15-03-2022,4191,4251,4171.75,4231.049805,4231.049805,560819,699,709.5,695.5,703.099976,703.099976,6006439,,,,
16-03-2022,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,710,715.5,705,712,712,3843706,,,,
17-03-2022,4218,4239,4166.100098,4192.75,4192.75,608024,720,727.950012,715,722.900024,722.900024,8168953,,,,
21-03-2022,4217,4217,4080.600098,4095.199951,4095.199951,370641,722,724.349976,706.799988,708.200012,708.200012,6317305,,,,
22-03-2022,4129,4129,4031,4054,4054,396898,708.5,721,705.849976,719.25,719.25,3000133,,,,
23-03-2022,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,719.25,719.849976,703,704.950012,704.950012,7974713,,,,
24-03-2022,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,698,708.849976,697.849976,706.349976,706.349976,3597143,,,,
25-03-2022,4069,4069,3995,4001.300049,4001.300049,440558,712.299988,714.450012,705.849976,709.349976,709.349976,2930336,,,,
28-03-2022,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,715.25,737,710.099976,733.049988,733.049988,7960258,,,,
29-03-2022,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,740.400024,763,737,754.950012,754.950012,15833573,,,,
30-03-2022,4025,4084,3945,3973.399902,3973.399902,580732,762.75,769.900024,744.599976,749.5,749.5,9938988,,,,
31-03-2022,4028,4040,3983.050049,4003.350098,4003.350098,492437,753,759,739.700012,754.950012,754.950012,7371181,,,,
01-04-2022,4013,4093,4000,4082.199951,4082.199951,416596,759.799988,766.650024,749.25,758.5,758.5,5920139,,,,
04-04-2022,4120,4150,4076.149902,4106.649902,4106.649902,438581,757.849976,775,756.200012,767.799988,767.799988,5783224,,,,
05-04-2022,4138.75,4148,4100,4109.700195,4109.700195,277248,767.799988,773.799988,761,766.599976,766.599976,3990794,,,,
06-04-2022,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,764,780.700012,763,775.650024,775.650024,7490027,,,,
07-04-2022,4099.899902,4244,4092,4159.700195,4159.700195,979784,775,777.849976,759.549988,762.400024,762.400024,5818505,,,,
08-04-2022,4165,4208,4118,4146.25,4146.25,358035,768.349976,768.349976,757.599976,762.099976,762.099976,5583587,,,,
11-04-2022,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,757,765.200012,756,758.049988,758.049988,4927865,,,,
12-04-2022,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,759.950012,759.950012,740.099976,741.650024,741.650024,3904026,,,,
13-04-2022,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,742,756.5,737.950012,740.650024,740.650024,6343030,,,,
18-04-2022,4065,4079,4009,4056,4056,193904,736.650024,740.150024,723.400024,729.5,729.5,8950327,,,,
19-04-2022,4089.899902,4131.899902,3975,4008.899902,4008.899902,222195,739,739,716.849976,723.5,723.5,9957060,,,,
20-04-2022,4026,4065,4000,4054.800049,4054.800049,222817,730.049988,744.5,723.950012,739.349976,739.349976,6632292,,,,
21-04-2022,4075,4080,4015,4030.25,4030.25,209196,743.900024,743.900024,730,735.75,735.75,6111830,,,,
22-04-2022,4028.649902,4060.050049,3995.75,4028.850098,4028.850098,210640,731,740.900024,729,738.75,738.75,5182247,,,,
25-04-2022,4000,4022.350098,3975.050049,3989.199951,3989.199951,204726,729.950012,743,729.150024,739.349976,739.349976,3571031,,,,
26-04-2022,4009.800049,4050,3994.399902,4044.25,4044.25,198101,745,758.900024,739.099976,756.299988,756.299988,4987848,,,,
27-04-2022,4006.100098,4024.350098,3960,3977.699951,3977.699951,169916,750,761.549988,746.400024,752.5,752.5,4571399,,,,
28-04-2022,4023.899902,4054,3995.550049,4024.550049,4024.550049,247751,751,754.299988,744.599976,747.349976,747.349976,6101866,,,,
